"Comment","Designator","Footprint","LCSC Part #"
"10uf 0603 6.3V","C1","C_0603_1608Metric","no_part_number"
"22pF 0402","C2,C7","C_0402_1005Metric","no_part_number"
"1uF 0402","C4","C_0402_1005Metric","no_part_number"
"100nf 0402","C8,C13,C11,C5,C6","C_0402_1005Metric","no_part_number"
"1uf 0402","C10,C3","C_0402_1005Metric","no_part_number"
"1n40002","D1","D_SOD-123","no_part_number"
"MountingHole","H1,H2,H3,H4","MountingHole_2.2mm_M2","no_part_number"
"AVR-ISP-6","ISP1","PinHeader_2x03_P2.54mm_Vertical","no_part_number"
"2.54mm header 01x20","J4,J3","PinHeader_1x20_P2.54mm_Vertical","no_part_number"
"10K 0402","R1","R_0402_1005Metric","no_part_number"
" 22Ohm  0402 Resistor","R3","C_0402_1005Metric","no_part_number"
"22Ohm 0402 Resistor","R4","C_0402_1005Metric","no_part_number"
"5.1K","R6,R5","R_0402_1005Metric","no_part_number"
"SKRK","RSW1","SW_Push_SPST_NO_Alps_SKRK","no_part_number"
"TestPoint","TP1,TP2","TestPoint_Pad_2.0x2.0mm","no_part_number"
"ATmega32U4-MU","U1","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","no_part_number"
"TYPE-C-31-M-12","USB1","HRO-TYPE-C-31-M-12","no_part_number"
"8MHz 3225_4p crystal","Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","no_part_number"
