Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
G***,LOGO,logo,8.947640,-9.400000,180.000000,bottom
C1,10uf 0603 6.3V,C_0603_1608Metric,12.855000,-7.514000,180.000000,top
C2,22pF 0402,C_0402_1005Metric,4.400000,-29.430000,0.000000,top
C3,1uf 0402,C_0402_1005Metric,11.432000,-17.057000,45.000000,top
C4,1uF 0402,C_0402_1005Metric,5.594000,-17.397000,45.000000,top
C5,100nf 0402,C_0402_1005Metric,8.012000,-15.945000,45.000000,top
C6,100nf 0402,C_0402_1005Metric,10.555000,-15.887000,135.000000,top
C7,22pF 0402,C_0402_1005Metric,4.400000,-30.410000,0.000000,top
C8,100nf 0402,C_0402_1005Metric,10.676411,-27.143411,315.000000,top
C10,1uf 0402,C_0402_1005Metric,9.250000,-14.440000,90.000000,top
C11,100nf 0402,C_0402_1005Metric,14.405000,-20.759000,315.000000,top
C13,100nf 0402,C_0402_1005Metric,3.821000,-24.673000,225.000000,top
D1,1n40002,D_SOD-123,15.190000,-2.780000,90.000000,top
R1,10K 0402,R_0402_1005Metric,8.272000,-33.935000,270.000000,top
R3, 22Ohm  0402 Resistor,C_0402_1005Metric,8.365000,-8.000000,270.000000,top
R4,22Ohm 0402 Resistor,C_0402_1005Metric,9.390000,-8.025000,270.000000,top
R5,5.1K,R_0402_1005Metric,10.400000,-7.770000,90.000000,top
R6,5.1K,R_0402_1005Metric,7.310000,-7.760000,90.000000,top
RSW1,SKRK,SW_Push_SPST_NO_Alps_SKRK,7.002000,-41.172000,0.000000,top
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,8.840000,-21.800000,225.000000,top
USB1,TYPE-C-31-M-12,HRO-TYPE-C-31-M-12,8.850000,1.800000,180.000000,top
Y1,8MHz 3225_4p crystal,Crystal_SMD_3225-4Pin_3.2x2.5mm,7.730000,-30.530000,270.000000,top
